Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
Rogue Mage;Не обременённый принципами чародей-бродяга, готовый предложить свои услуги любому, кто за это заплатит.;This wandering sorcerer is unencumbered by a strict moral code, so he is willing to offer his services to anyone for the right amount of coin.;四处游荡的法师，道德败坏，只要客户钱给的够多，什么事情都干得出来。;Dieser umherziehende Zauberer ist nicht durch einen strengen Moralkodex belastet, so dass er bereit ist, für die richtige Menge an Münzen jedem seine Dienste anzubieten.;;;;;Wędrujący czarodzieje, którzy wyzbyli się kodeksu etycznego, służący każdemu kto ma w miarę ciężki mieszek.
Brigand Outlaw;Грабители с большой дороги крепко усвоили простое правило: сначала стрелять, потом разбираться.;Highwaymen firmly follow one simple rule: shoot first, ask questions later.;拦路的强盗有一条规矩雷打不动------先动手，再开口。;Straßenräuber halten sich streng an eine einfache Regel: erst schießen, dann Fragen stellen.;;;;;Rozbójnicy zdecydowanie przestrzegają jednej prostej zasady: strzelaj najpierw, zadawaj pytania później.
Brigand Freak;Говорят, будто порядки на альдорских камнеломнях могут свести с ума даже самых стойких духом. Что уж говорить об откровенных психопатах с нездоровой тягой к боли и крови. ;It's rumored that serving a sentence in the Aldorian quarries can break even the strongest spirits, let alone actual psychopaths, drawn to pain and blood.;据说就算无比坚强的人，一旦去了奥尔多的石场服刑，最后精神也会崩溃。如果他本来精神就有问题，那就更不用说了，所以才会这么嗜好痛苦和鲜血。;Es heißt, dass die Verbüßung einer Strafe in den aldorianischen Steinbrüchen selbst die stärksten Geister brechen kann, ganz zu schweigen von echten Psychopathen, die von Schmerz und Blut angezogen werden.;;;;;Mówi się, że odbycie wyroku w kamieniołomach Aldoru może złamać nawet najsilniejszego ducha, nie mówiąc już o prawdziwych psychopatach, których pociąga ból i krew.
Brigand Warlock;Чернокнижники не отличаются особой щепетильностью ни в своих целях, ни в своих методах. Для многих из них разбойничье ремесло - отличный способ быстро разбогатеть, заодно отточив свою магию.;Warlocks aren't particularly picky about neither their means, nor their ends. For many of them the life of banditry is a perfect way to earn some easy coin while honing their magical skill.;男巫做事一般不是特别在意手段和目的。在他们很多人看来，当土匪很好，既能轻轻松松赚到钱，又能增进自己的法术修为。;Hexer sind weder bei ihren Mitteln noch bei ihren Zielen besonders wählerisch. Für viele von ihnen ist das Leben als Bandit der perfekte Weg, um sich ein paar schnelle Münzen zu verdienen, während sie gleichzeitig ihre magischen Fähigkeiten verbessern.;;;;;Czarnoksiężnicy nie są szczególnie wybredni pod względem ani środków, ani celów. Dla wielu z nich życie z bandyterki jest doskonałym sposobem na zarobienie łatwej monety przy pokazywaniu ich magicznych umiejętności.
Brigand Swordsman;Воевать друг с другом в армиях Совета и Магистрата многим надоело. Другое дело - сбиться в банду и грабить беззащитных.;Some soldiers are sick of serving in the armies of the Council and the Magistrate. Banding together and robbing innocents - now that's where the excitement is.;有的士兵待腻了公家的军队，就搭伙干起来拦路抢劫的事情。对于他们而言，这样的事情才有意思。;Einige Soldaten sind es leid, in den Armeen des Rates und des Magistrats zu dienen. Sich zu verbünden und Unschuldige zu berauben - da kommt Spaß auf.;;;;;Niektórzy żołnierze mają po dziurki w nosie służby w armiach Sądu lub Magistratu. Łączą się w pary i obrabiają niewinnych - no, teraz to zabrzmiało jak podniecenie.
Brigand Axeman;Воевать друг с другом в армиях Совета и Магистрата многим надоело. Другое дело - сбиться в банду и грабить беззащитных.;Some soldiers are sick of serving in the armies of the Council and the Magistrate. Banding together and robbing innocents - now that's where the excitement is.;有的士兵待腻了公家的军队，就搭伙干起来拦路抢劫的事情。对于他们而言，这样的事情才有意思。;Einige Soldaten sind es leid, in den Armeen des Rates und des Magistrats zu dienen. Sich zu verbünden und Unschuldige zu berauben - da kommt Spaß auf.;;;;;Niektórzy żołnierze mają po dziurki w nosie służby w armiach Sądu lub Magistratu. Łączą się w pary i obrabiają niewinnych - no, teraz to zabrzmiało jak podniecenie.
Brigand Flailer;Воевать друг с другом в армиях Совета и Магистрата многим надоело. Другое дело - сбиться в банду и грабить беззащитных.;Some soldiers are sick of serving in the armies of the Council and the Magistrate. Banding together and robbing innocents - now that's where the excitement is.;有的士兵待腻了公家的军队，就搭伙干起来拦路抢劫的事情。对于他们而言，这样的事情才有意思。;Einige Soldaten sind es leid, in den Armeen des Rates und des Magistrats zu dienen. Sich zu verbünden und Unschuldige zu berauben - da kommt mehr Spaß auf.;;;;;Niektórzy żołnierze mają po dziurki w nosie służby w armiach Sądu lub Magistratu. Łączą się w pary i obrabiają niewinnych - no, teraz to zabrzmiało jak podniecenie.
Brigand Sergeant Hammer;Самый ушлый и жестокий разбойник банды, подбивающий остальных на новые злодения.;The most cunning and ruthless brigand of the gang, egging the others on commiting new villainies.;要说老奸巨猾，心狠手辣，谁都比不上这群人。他们总是想着法儿的逼其他人违法乱纪。;Der raffinierteste und skrupelloseste Räuber der Bande, der die anderen dazu anstachelt, neue Schandtaten zu begehen.;;;;;Najbardziej myślący i bezwzględny bandyta całego gangu opryszków, zachęcający innych do popełniania nowych przestępstw.
Brigand Sergeant Sword;Самый ушлый и жестокий разбойник банды, подбивающий остальных на новые злодения.;The most cunning and ruthless brigand of the gang, egging the others on commiting new villainies.;要说老奸巨猾，心狠手辣，谁都比不上这群人。他们总是想着法儿的逼其他人违法乱纪。;Der raffinierteste und skrupelloseste Räuber der Bande, der die anderen dazu anstachelt, neue Schandtaten zu begehen.;;;;;Najbardziej myślący i bezwzględny bandyta całego gangu opryszków, zachęcający innych do popełniania nowych przestępstw.
Brigand Halberdier;В хаосе войны честь и верность - пустые слова. На первом месте - личная выгода и желание потуже набить брюхо ;In times of war, honor and loyalty are empty words. Personal gain and staying sated become the priority.;战乱年代，荣誉忠诚都是空话，自己能捞到东西，吃穿不愁，才是要紧的事情。;In Zeiten des Krieges sind Ehre und Loyalität leere Worte. Persönlicher Gewinn und satt zu sein werden zur Priorität.;;;;;W czasach wojny honor i lojalność to puste słowa. Priorytetem stają się korzyści osobiste i pełny bebech.
Brigand Arbalester;Застрельщики знают, что арбалет и засады - сочетание, почти не оставляющее шансов.;Arbalesters know well how deadly the combination of crossbows and ambushes can be.;这些弩手最明白冷箭的厉害。;Armbrustschützen wissen sehr gut, wie tödlich die Kombination von Armbrüsten und Hinterhalten sein kann.;;;;;Arbalesterzy dobrze wiedzą, jak zabójcze może być połączenie kuszy i zasadzki.
Brigand Conjurer;Некоторым чародеям не находится места при дворе феодалов, что и толкает их на путь преступника.;Some sorcerers fail to find their place at the noble court, ending up as criminals.;有的法师被赶出了贵族豪门，无奈之下，只能走上了犯罪的道路。;Manche Zauberer finden einfach ihren Platz am edlen Hof nicht und enden als Kriminelle.;;;;;Niektórzy czarodzieje nie znajdują miejsca na szlachetnym dworze, co kończy się tym, że wchodzą na przestępczą ścieżkę.
Brigand Cutthroat;Этот негодяй в совершенстве владеет своими кинжалами - и, что немаловажно, умеет и любит убивать.;This scoundrel is excellent at wielding his daggers and most importantly - enjoys killing with them.;这个无赖匕首耍得很有两下子，而且特别喜欢用匕首杀人。;Dieser Schurke kann hervorragend mit seinen Dolchen umgehen und - was am wichtigsten ist - er genießt es, mit ihnen zu töten.;;;;;Ten łotr doskonale posługuje się sztyletami, a co najważniejsze - lubi zabijać nimi.
Brigand Ringleader Sword;Только две вещи могут заставить рыцаря заняться разбоем: скука и обнищание.;Only two things can turn a knight into a brigand: boredom and poverty.;骑士变土匪，无非两个原因：要么干腻了，要么没钱了。;Nur zwei Dinge können einen Ritter in einen Räuber verwandeln: Langeweile und Armut.;;;;;Tylko dwie rzeczy mogą zmienić rycerza w zbójcę: nuda i bieda.
Brigand Ringleader Shield;Только две вещи могут заставить рыцаря заняться разбоем: скука и обнищание.;Only two things can turn a knight into a brigand: boredom and poverty.;骑士变土匪，无非两个原因：要么干腻了，要么没钱了。;Nur zwei Dinge können einen Ritter in einen Räuber verwandeln: Langeweile und Armut.;;;;;Tylko dwie rzeczy mogą zmienić rycerza w zbójcę: nuda i bieda.
Proselyte Immolated;У этого обезумевшего от страданий культиста осталось лишь одно желание - погибнуть во имя высшей цели.;Unspeakable suffering has left this insane cultist with a single desire - to die for a higher purpose.;这个邪教信徒已经失去理智，言语无法形容的痛苦让他只剩下一个愿望------崇高地献出自己的生命。;Unaussprechliches Leid hat diesen wahnsinnigen Kultisten mit einem einzigen Wunsch zurückgelassen - für einen höheren Zweck zu sterben.;;;;;Niewymowne cierpienie sprawiło, że ten szalony kultysta ma jedno pragnienie - umrzeć dla wyższego celu.
Proselyte Tormentor;Мучители славят Престол изощрёнными пытками, упиваясь видом израненной плоти.;Tormentors praise the Court with devious tortures, reveling in the sight of wounded flesh.;这些信徒通过惨绝人寰的酷刑拥护王廷的统治，皮开肉绽是他们乐见的景象。;Peiniger lobpreisen das GERICHT mit hinterhältigen Folterungen und schwelgen im Anblick von verwundetem Fleisch.;;;;;Dręczyciele wychwalają Sąd brutalnymi torturami, rozkoszując się widokiem zranionego ciała.
Proselyte Adept;Рядовой еретик, усердно изучающий магию крови в надежде подняться повыше в иерархии культа.;A small-time heretic, who hopes to elevate his position in the cult by diligently studying blood magic.;默默无闻的异教信徒，苦心研习血魔法，希望以此提升自己在教内的地位。;Ein kleiner Ketzer, der hofft, seine Position im Kult durch das sorgfältige Studium der Blutmagie zu erhöhen.;;;;;Niedoświadczony heretyk, który ma nadzieję podnieść swoją pozycję w kulcie, pilnie studiując krwawą magię.
Proselyte Hierarch;Ересиарх-сангвимант, чьё главное предназначение - наставить остальных на истинный путь. ;A heresiarch-sanguimage, whose main purpose is to provide guidance for the rest of the cult.;血魔法师，异教头领，主要负责面向教众下达指示。;Ein Erzheretiker, dessen Hauptzweck es ist, den Rest des Kults zu führen.;;;;;Heretycki pseudomag, którego głównym celem jest zapewnienie wskazówek dla reszty kultu.
Proselyte Flagellant;Боль - лучшее доказательство преданности. Флагеллянты неустанно истязают себя в надежде на благосклонность своего бога.;Pain is the best proof of devotion. Flagellants incessantly torment themselves, hoping to garner favor from their god.;疼痛是表达虔诚最好的方式，鞭身信徒时时刻刻都会鞭打自己，希望以此获得神的眷顾。;Schmerz ist der beste Beweis für Hingabe. Flagellanten quälen sich ununterbrochen, in der Hoffnung, die Gunst ihres Gottes zu erlangen.;;;;;Ból jest najlepszym dowodem oddania. Katorżnicy nieustannie dręczą się, mając nadzieję na pozyskanie przychylności ich boga.
Proselyte Champion;Выбор Престола падает лишь на самых верных последователей. После получения Дара они долго привыкают к своему новому, нечеловеческому телу.;The Court favors only the most devoted followers. It takes a long time to adjust to the new, inhumane body after receiving the GIft.;王廷只会眷顾最为虔诚的信众，这些人获得“恩赐”之后，需要很久才能适应扭曲的躯壳。;Das GERICHT bevorzugt nur die treuesten Anhänger. Es dauert lange, bis man sich nach Erhalt der Gabe an den neuen, nichtmenschlichen Körper gewöhnt hat.;;;;;Sąd faworyzuje tylko najbardziej oddanych wyznawców. Dostosowanie się do nowego, nieludzkiego ciała zajmuje dużo czasu po otrzymaniu Daru.
Proselyte Outcast;Изгоями становятся те культисты, чьё тело не смогло принять Дар в полной мере. Обезумев, они влачат жалкое существование в роли боевых животных.;Those cultists whose body rejected the GIft become outcasts. Driven completely insane, they drag out a miserable existence as fighting animals.;这些信众的身体无法接受“恩赐”，就会变成弃民。他们已经完全丧失理智，只能作为奋力战斗的生物，痛苦地活着。;Diejenigen Kultanhänger, deren Körper die Gabe ablehnte, werden zu Ausgestoßenen. Völlig wahnsinnig geworden, fristen sie als kämpferische Tiere ein erbärmliches Dasein.;;;;;Ci kultyści, których ciało odrzuciło Dar, zostali wyrzutkami. Doprowadzeni do szaleństwa, kończą nędzną egzystencję jako walczące zwierzęta.
Proselyte Harbinger;Обращённые женщины - не редкость. Однако многие из них не выдерживают трансформации и сходят с ума, превращаясь в обезумевших фурий.;Proselyte women aren't uncommon. But many of them can't withstand the transformation and lose their mind in the process, turning into raving furies.;女性变节信徒并不少见，不过许多人无法完成转化，在这一过程中便失去了心智，进入极其易怒的状态。;Proselytische Frauen sind keine Seltenheit. Aber viele von ihnen können die Verwandlung nicht verkraften und verlieren dabei den Verstand und werden zu tobenden Furien.;;;;;Kobiety wśród neofitów nie są rzadkie. Ale wiele z nich nie jest w stanie wytrzymać transformacji i w tym procesie oszaleje, zamieniając się w szaloną furię.
Proselyte Apostate;Богоотступники - это бывшие священники Сонма, сведённые с ума апокалиптическими видениями своего нового покровителя. Именно они определяют, кто из культистов достоин следующего Дара.;Apostates are former clerics of the Host, drawn mad by the apocalyptic visions of their new patron. They are in charge of choosing which cultists are worthy of receiving the Gift.;原本是主的牧师，因为神主令他们看到了世界毁灭的景象，而丧失了心智。他们负责决定信徒是否可以接受“恩赐”。;Abtrünnige sind ehemalige Kleriker des GASTGEBERS, die von den apokalyptischen Visionen ihres neuen Gönners in den Wahnsinn getrieben wurden. Sie sind dafür zuständig, die Sektenmitglieder auszuwählen, die es verdienen, die Gabe zu erhalten.;;;;;Apostaci są dawnymi kapłanami Gospodarza, oszalałymi przez apokaliptyczne wizje ich nowego patrona. Są odpowiedzialni za wybór kultystów, którzy są godni otrzymania Daru.
Blood Golem;Хаотично пульсирующее порождение бурлящей крови, оскверненной плоти и тлетворной магии.;A chaotically pulsating manifestation of boiling blood, defiled flesh, and pernicious magic.;一具肮脏扭曲的肉体，混乱地搏动着，内部涌动着沸腾的鲜血和邪恶的魔法。;Eine chaotisch pulsierende Manifestation von kochendem Blut, verunreinigtem Fleisch und verderblicher Magie.;;;;;Chaotycznie pulsująca manifestacja wrzącej krwi, skalanego ciała i zgubnej magii.
Guard Dog;Охотничий пёс, натасканный рвать людей заживо. Наказания и постоянный голод сделали из него свирепую тварь.;A hunting dog trained to tear people apart. Constant hunger and abuse turned it into a ferocious monster.;这条猎犬经过训练，专门虐杀人类。长期遭受虐待，处于饥饿状态，已经变成了一个杀人机器。;Ein Jagdhund, der darauf trainiert ist, Menschen auseinander zu reißen. Ständiger Hunger und Misshandlungen verwandelten ihn in ein grausames Monster.;;;;;Pies myśliwski przeszkolony w rozdzieraniu ludzi na strzępy. Ciągły głód i znęcanie zamieniły go w okrutnego potwora.
Vampire Initiate;Трансформация этого вампира еще не закончена, поэтому он сражается не так умело, как его собратья.;This vampire is not fully transformed yet, so it is not as dangerous in a fight as its brethren.;这个吸血鬼还没有完全转化，所以没有其他吸血鬼那么危险。;Dieser Vampir ist noch nicht vollständig verwandelt, so dass er in einem Kampf nicht so gefährlich ist wie seine Brüder.;;;;;
Vampire Sharpshooter;Арбалетчиками обычно становятся чем-либо провинившиеся вампиры - дальний бой затрудняет доступ к свежей крови.;Vampires that committed some offense against their own kind are often armed with crossbows - ranged combat inhibits access to fresh blood.;吸血鬼如果伤害同类，战斗的时候一般就要使用弩弓。这样一来，他们就无法吸食鲜血了。;Vampire, die eine Straftat gegen ihre eigene Art begangen haben, sind oft mit Armbrüsten bewaffnet - der Fernkampf erschwert den Zugang zu frischem Blut.;;;;;Ten wampir nie jest jeszcze w pełni przemieniony, więc nie jest tak niebezpieczny w walce jak jego pobratymcy.
Vampire Swordsman;Редкий смертный сможет овладеть мечом так же хорошо, как этот вампир.;Few mortals can wield a sword as skillfully as this vampire.;普通人类没有几个的剑法比得过这种吸血鬼。;Nur wenige Sterbliche können ein Schwert so gekonnt führen wie dieser Vampir.;;;;;Niewielu śmiertelników potrafi władać mieczem tak umiejętnie, jak ten wampir.
Vampire Noble;Высокое положение знатных вампиров дает им право на благословение Покровителя, которым они делятся со своими союзниками.;The high status of noble vampires provides them the aegis of the Patron, which they share with their allies.;吸血鬼贵族地位显赫，因而会获得神主庇佑，他们会与盟友共享这份庇护。;Der hohe Status der adligen Vampire beschert ihnen die Ägide eines Patrons, die sie mit ihren Verbündeten teilen.;;;;;Wysoki status wampirów z szlachetnych rodów zapewnia im ochronę samego Patrona, zaś oni dzielą się nią z sojusznikami.
Vampire Acolyte;Скованные черпают силу для своих заклятий из собственной боли и страданий.;Cagebound vampires draw power for their spells from their own pain and suffering.;囚禁笼中的吸血鬼通过自身的苦痛获得法力。;Käfiggebundene Vampire beziehen ihre Kraft für ihre Zaubersprüche aus ihrem eigenen Schmerz und Leid.;;;;;Wampirzy Klatownicy czerpią moc do swoich zaklęć z własnego bólu i cierpienia.
Vampire Priestess;Обращенные женщины занимают очень важное место в вампирских культах, пользуясь практически религиозным почитанием.;Female vampires enjoy a privileged position in vampire cults, they are revered to the point of worship.;女性吸血鬼在吸血教派中拥有各种特权，备受同类尊崇。;Weibliche Vampire genießen eine privilegierte Stellung in Vampirkulten, sie werden bis zur Anbetung verehrt.;;;;;Kobiety-wampiry cieszą się uprzywilejowaną pozycją w kultach wampirów, są wręcz czczone.
Vampire Befouler;Осквернители хорошо владеют магией крови и постоянно ищут новых жертв для своих ритуалов.;Befoulers are adept at blood magic, always looking for new victims to sacrifice in their unholy rituals.;吸血法师擅长血魔法，时常举行邪术仪式，因此经常寻找用于献祭的目标。;Verschmutzer sind in der Blutmagie bewandert und immer auf der Suche nach neuen Opfern, die sie in ihren unheiligen Ritualen opfern können.;;;;;Plugawiciele są biegli w magii krwi, zawsze szukając nowych ofiar do poświęcenia w swoich bezbożnych rytuałach.
Proselyte Archon;Предводитель вампирского культа, пустившего корни в этом монастыре. Осколок в его руках не сулит ничего хорошего...;A leader of the vampiric cult, occupying this monastery. The Stoneshard in his hands doesn't bode well.;吸血教派头领，占据了这座修院。紫色晶石在他手里，肯定不是什么好事。;Ein Anführer des Vampirkultes, der diese Abtei besetzt hat. Der Steinsplitter in seinen Händen verheißt nichts Gutes.;;;;;Przywódca kultu wampirów, zajmujący ten klasztor. Stoneshard w jego rękach nie wróży dobrze.
Reborn Archon;Это чудовище способно испытывать только два чувства - боль и звериную ярость, подпитываемую Осколком глубоко внутри.;This monster is only capable of feeling two things: pain and animalistic fury, fueled by the Stoneshard lodged deep inside him.;这个怪物现在只剩两种感觉-----疼痛和兽怒，而且体内的紫色晶石放大了这两种感觉。;Dieses Monster ist nur in der Lage, zwei Dinge zu fühlen: Schmerz und animalische Wut, angefacht durch den Steinsplitter, der tief in ihm steckt.;;;;;Ten potwór jest w stanie odczuwać tylko dwie rzeczy: ból i zwierzęcą furię, zasilaną przez Stoneshard, który tkwi głęboko w jego wielkim ciele.
Summoned Zombie;Гниющее бездыханное тело, возвращённое к жизни магией Осколка. Если это можно назвать жизнью...;A rotting corpse, brought back to life with the Stoneshard's magic. If you can even call it life...;一具腐尸，因为紫色晶石的魔力而复生，其实这个样子算什么复生……;Eine verrottende Leiche, die mit der Magie des Steinsplitters wieder zum Leben erweckt wurde. Wenn man das überhaupt Leben nennen kann...;;;;;Gnijące zwłoki, przywrócone do życia dzięki magii, którą emanuje Stoneshard. Jeśli możesz to w ogóle nazwać życiem...
Vampire Guard;Этому обращённому было поручено сторожить вас... И пока что он не особо справляется со своими обязанностями.;Este novato foi encarregado de proteger você. Ele não tem feito um trabalho muito bom até agora.;这个新人负责保护你，不过目前为止，他都没有很好地履行职责。;Dieser Neuling war mit der Aufgabe betraut, dich zu bewachen. Er hat bisher keine sehr gute Arbeit geleistet.;;;;;Ten neofita miał za zadanie cię pilnować. Jak dotąd nie wykonał swojej roboty dobrze.
Vampire Lord;Этот вампир занимает одну из самых высоких ступеней в иерархии своего культа.;Este vampiro possui uma das mais altas fileiras na hierarquia de seu culto.;这个吸血鬼在教派的地位极高。;Dieser Vampir hat einen der höchsten Ränge in der Hierarchie seines Kultes inne.;;;;;Ten wampir posiada jedną z najwyższych rang w hierarchii swojego kultu.
enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end;enemy_desc_end
;;;;;;;;;
enemy_type;enemy_type;enemy_type;enemy_type;enemy_type;enemy_type;enemy_type;enemy_type;enemy_type;enemy_type
undead;Нежить;Morto-vivo;不死;Untot;;;;;Nieumarły
vampire;Вампир;Vampiro;吸血鬼;Vampir;;;;;Wampir
spectre;Призрак;espectro;幽灵;Gespenst;;;;;Zjawa
beast;Животное;Fera;野兽;Tier;;;;;Bestia
arachnid;Арахнид;Aracnídeo;蜘蛛;Arachnide;;;;;Arachnid
human;Человек;Humano;人类;Mensch;;;;;Człowiek
enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end;enemy_type_end
;;;;;;;;;
enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction;enemy_faction
omnivore;Всеядное;Onívoro;杂食;Allesfresser;;;;;Wszystkożerne
carnivore;Плотоядное;Carnívoro;肉食;Fleischfresser;;;;;Mięsożerne
herbivore;Травоядное;Herbívoro;草食;Pflanzenfresser;;;;;Roślinożerne
spawner;Гнездовье;Ninho;巢居;Nest;;;;;Gniazdo
Grey Army;Разбойники;Ladrões;土匪;Banditen;;;;;Bandyci
Shadow Cult;Сумрачный Ковенант;Aliança das Sombras;暗影圣会;Schattenbund;;;;;Przymierze Mroku
Dead March;Алый Ковенант;Aliança Carmesim;绯红圣会;Karmesinroter Bund;;;;;Karmazynowe Przymierze
enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end;enemy_faction_end
;;;;;;;;;
enemy_level;enemy_level;enemy_level;enemy_level;enemy_level;enemy_level;enemy_level;enemy_level;enemy_level;enemy_level
1;Слабый;Fraco;弱小;Schwach;;;;;Słaby
2;Равный по силе;Igual na Força;势均力敌;Ebenbürtig;;;;;Równy
3;Опасный;Perigoso;危险;Gefährlich;;;;;Niebezpieczny
4;Очень опасный;Muito Perigoso;非常危险;Sehr Gefährlich;;;;;Bardzo Niebezpieczny
enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end;enemy_level_end
