тип;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
lvlup7;Теперь вы можете приступить к изучению разблокированных способностей.##Откройте меню способностей [/*SKILLS_MENU*/], найдите ветвь ~y~Пиромантии~y~ в разделе Магии и потратьте одно очко на заклинание ~y~"Огненный залп"~/~.##Все изученные способности перемещаются на панель быстрого доступа, откуда мх можно активировать клавишами [~lg~1-10~/~] либо нажатием [~lg~ЛКМ~/~].;Agora você pode aprender suas habilidades recém-desbloqueadas.##Abra sua janela de habilidades [/*SKILLS_MENU*/], encontre a árvore de habilidades ~y~Piromancia~/~ na aba Magia e gaste um ponto para aprender o feitiço ~y~"Barreira de Fogo"~/~.##Todas as habilidades aprendidas podem ser movidas para a barra de habilidades, onde podem ser ativadas com as teclas [~lg~1-10~/~] ou pressionando [~lg~LMB~/~].;现在可以学习刚刚解锁的能力了。##按[/*SKILLS_MENU*/]键，打开能力窗口，前往魔法部分，找到~y~炎系法术~/~，消耗1点，学习法术~y~“连发火球”~/~。##能力学会之后，均可放入技能栏，然后通过数字键[~lg~1-10~/~]或[~lg~LMB~/~]即可使用。;Jetzt kannst du deine frisch freigeschalteten Fertigkeiten lernen.##Öffne dein Fertigkeitenfenster [/*SKILLS_MENU*/], suche den ~y~Pyromantie~/~ Fertigkeitsbaum im Ordner Magie und gebe einen Punkt aus, um den ~y~"Feuersperre"~/~ Zauber zu lernen.##Alle gelernten Fertigkeiten können in die Fertigkeitenleiste verschoben werden, wo sie mit den Tasten [~lg~1-10~/~] oder durch Drücken von [~lg~LMB~/~] aktiviert werden können.;;;;Teraz możesz nauczyć się swoich świeżo odblokowanych Zdolności.##Otwórz menu Zdolności klawiszem [/*SKILLS_MENU*/], następnie folder Magii, później drzewko ~y~Piromancji~/~. Odblokuj umiejętność ~y~"Ognista Zapora"~/~.##Wszystkie odblokowane zdolności można przenieść na pasek szybkiego dostępu, następnie aktywując je klawiszami [~lg~1-10~/~] lub [~lg~lewym klawiszem myszy~/~].
;;;;;;;;
scrollTitle;Свитки;Pergaminhos;卷轴;Spruchrollen;;;;Zwoje
;;;;;;;;
scroll1;~y~Свитки~/~ - важные предметы, позволяющие по-разному взаимодействовать с экипировкой.;Os pergaminhos são itens importantes que permitem uma variedade de interações com o seu equipamento.;卷轴种类众多，非常重要，主要用于装备和物品。;Schriftrollen sind wichtige Elemente, die eine Vielzahl von Interaktionen mit deiner Ausrüstung ermöglichen.;;;;Zwoje są niezwykle ważnymi przedmiotami, które pozwalają ci na wiele w związku z twoim ekwipunkiem.
scroll2;Иногда вы будете находить неидентифицированные предметы с ~y~неизвестными~/~ свойствами.##Чтобы узнать их особенности, вам потребуется применить на них ~y~свиток определения~/~.;Ocasionalmente, você pode encontrar itens não identificados com propriedades ~y~desconhecidas~/~.##Para identificar-los você precisará usar um ~y~Pergaminho de Identificação~/~.;你有时可能会获得属性~y~不明~/~的未鉴定物品。##你要使用~y~鉴定卷轴~/~，才能了解物品的属性。;Gelegentlich kann es vorkommen, dass du nicht identifizierte Elemente mit ~y~unbekannten~/~ Eigenschaften findest.##Um sie zu lernen, musst du eine ~y~Identifizieren-Spruchrolle~/~ verwenden.;;;;Czasami możesz znaleźć niezidentyfikowane przedmioty o ~y~nieznanych~/~ statystykach.##By poznać statystyki musisz użyć na takich przedmiotach ~y~Zwoju Identyfikacji~/~.
scroll3;Некоторые неидентифированные предметы могут оказаться ~p~проклятыми~/~.##Однажды надев их, вы больше не сможете их снять, пока не рассеете проклятие с помощью ~y~свитка снятия чар~/~.;Alguns itens não identificados são ~p~amaldiçoados~/~.##Depois de equipá-los, você não pode mais dropar-los até que você remova a maldição com um ~y~Pergaminho do Desencanto~/~.;有些未经鉴定的物品受到了~p~诅咒~/~。##这种物品一旦装备，便无法卸下，除非你用~y~祛魔卷轴~/~解除装备的诅咒。;Einige nicht identifizierte Gegenstände sind ~p~verflucht~/~.##Sobald man sie ausrüstet, kann man sie nicht mehr ablegen, bis man den Fluch mit einer ~y~Entzaubern-Spruchrolle~/~ aufhebt.;;;;Część niezidentyfikowanych przedmiotów mogą okazać się ~p~przeklętymi~/~. ##Jak tylko założysz Przeklęty pzedmiot nie możesz go zdjąć, do póki nie zdejmiesz z niego klątwy za pomocą ~y~Zwoju Oczyszczenia~/~.
scroll4;С помощью ~y~свитка зачарования~/~ вы можете улучшать экипировку, накладывая на неё различные бонусы.;~y~Pergaminho de Encantamento~/~ permitem melhorar o seu equipamento, aplicando- vários efeitos benéficos a ele.;~y~附魔卷轴~/~可以给装备添加各种有益效果。;~y~ Verzaubern-Spruchrollen~/~ ermöglichen es dir, deine Ausrüstung zu verbessern, indem du verschiedene vorteilhafte Effekte auf sie anwendest.;;;;~y~Enchantment Scrolls~/~ allow you to improve your equipment by applying various beneficial effects to it.
;;;;;;;;
finalTitle;Финал;Final;结束;Zu guter Letzt;;;;Finał
;;;;;;;;
final1;Обучение пройдено! Теперь вы сами по себе: выживите и найдите переход на следующий этаж.;O tutorial está completo! Agora você está por sua conta. Sobreviva e encontre o caminho para o próximo andar.;教程结束了！后面，你就只能靠自己了。千万不要丢掉性命，想尽一切办法，也要走下去。;Das Tutorial ist abgeschlossen! Jetzt bist du auf dich allein gestellt. Überlebe und finde den Weg zur nächsten Ebene.;;;;Samouczek ukończony! Teraz musisz polegać tylko na sobie. Przeżyj i przedostań się na kolejne piętro.
final2;Помните: вы - не избранный, и многие враги примерно соответствуют вам по силе.##Будьте осторожны: не идите напролом, остерегайтесь групповых боёв, старайтесь сражаться исключительно один на один и умело используйте окружение.##~y~Удачи!~/~;E lembre-se: você não é o escolhido. Muitos inimigos são tão poderosos quanto você.##Cuidado: não avance sem pensar, evite lutar com vários oponentes ao mesmo tempo, tente forçar um combate um a um e use o que o rodeia.##~y~Boa sorte!~/~;另外，切记：你不是天选之人，很多敌人丝毫不比你弱。##千万小心，不要冲动。如果遇到敌人扎堆，不要莽撞。建议利用地形，逐个击破。##~y~祝你好运！~/~;Und denke daran: Du bist nicht der Auserwählte. Viele Gegner sind genau so mächtig wie du. Sei vorsichtig: stürme nicht gedankenlos vorwärts, vermeide es, mit mehreren Gegnern gleichzeitig zu kämpfen, versuche, einen Kampf gegen einen einzelnen Gegner zu erzwingen und nutze deine Umgebung.##~y~Viel Glück!~/~;;;;I pamiętaj: nie jesteś żadnym bogiem. Wielu przeciwników jest równie silnych jak ty.##Bądź ostrożny: nie szarżuj głupio przed siebie, unikaj walki z wieloma przeciwnikami na raz, spróbuj skupić się na jednym i wykorzystuj otoczenie.##~y~Powodzenia!~/~
;;;;;;;;
saveTitle;Система сохранений;Save System;存档系统;Speichersystem;;;;System Zapisywania Gry
;;;;;;;;
save1;Чтобы сохраниться, вам нужно ~y~снять комнату~/~ в таверне и ~y~поспать~/~ любое количество времени. Выход из игры не сохраняет ваш прогресс.##Если вы умрёте в ~y~стандартном режиме~/~, вы сможете загрузиться на моменте сохранения.#В режиме ~r~пермасмерти~/~ ваше сохранение будет навсегда удалено.;Para salvar o jogo, você precisa alugar um quarto em uma taberna e dormir durante algum tempo. Sair do jogo não salvara o seu progresso.##Se você morrer enquanto joga no ~y~modo padrão~/~, você pode retomar o jogo a partir do seu ultimo save.#No modo ~r~permadeath~/~, seus salvamentos são irreversíveis apagado na morte.;如果你想保存游戏进度，需要前往酒馆，~y~订下一个房间~/~，然后~y~睡上一觉~/~，时长任意。退出游戏时，进度不会自动保存。##~y~标准模式~/~下，人物死亡之后，游戏将回到最后一次存档的位置。#~r~真实模式~/~下，人物一旦死亡，游戏进度便会完全删除。;Um das Spiel zu speichern, musst du ~y~einen Raum~/~ in einer Taverne mieten und für eine beliebige Zeit ~y~schlafen~/~. Wenn du während des Spiels im ~y~Standardmodus~/~ stirbst, kannst du das gespeicherte Spiel wieder aufnehmen. Im ~r~Permadeath~/~ Modus werden deine Speicherstände beim Tod unwiderruflich gelöscht.;;;;By zapisać stan gry musisz ~y~wynająć pokój~/~ w tawernie i ~y~iść spać~/~ nawet na krótki okres czasu. Wyjście z gry nie powoduje zapisania stanu rozgrywki!##Jeżeli zginiesz w trakcie gry w ~y~zwykłym trybie~/~ obudzisz się w łóżku.#W trybie ~r~permadeath~/~ zapis gry zostanie całkowicie usunięty.
;;;;;;;;
thanksTitle;Спасибо!Obrigado!;非常感谢！;Dankeschön!;;;;Dziękujemy!
;;;;;;;;
thanks1;Наша команда благодарит вас за приобретение ~y~Набора поддержки~/~!##Ваши ~y~бонусные предметы~/~ ждут вас в сундуке на втором этаже таверны.##Удачных приключений!;Nossa equipe é grata a você por comprar o ~y~Supporter Pack~/~!##Seus ~y~itens de bônus~/~ estão esperando por você em um baú no segundo andar da taverna.##Boa sorte em suas aventuras !;非常感谢购买~y~支持礼包~/~！##你的~y~福利物品~/~就在酒馆二楼的箱子里。##祝你好运，冒险愉快！;Danke, dass du das ~y~Supporter Pack~/~ gekauft hast!##Deine ~y~Bonusgegenstände~/~ warten auf dich in einer Truhe auf der 2. Etage des Gasthauses.##Viel Glück bei deinen Abenteuern!;;;;Nasz team chciałby złożyć Ci podziękowania za zakup ~y~Pakietu Wspierającego~/~!##Twoje ~y~bonusowe przedmioty~/~ czekają na Ciebie w skrzyni na drugim piętrze tawerny.##Powodzenia w przygodach!
;;;;;;;;
;text_end;text_end;text_end;text_end;;;;text_end
