;Русский;English;中文;Deutsch;Español;Français;Italiano;Português;Polski
2;Когда Орден сооружал склепы, никто и подумать не мог, что от них будет столько хлопот... От склепа под названием %dungeon_name% нам и вовсе жизни нет. Он словно тянет к себе лиходеев всех мастей.#Дальше такое терпеть мы не намерены. Надобно бы выяснить, что так манит туда всю эту погань. Коль очистишь склеп и отыщешь причину скверны, я неплохо тебе заплачу.;No momento em que a Ordem estava construindo as criptas, ninguém podia imaginar que elas acabariam sendo tão incômodas ... E de todas elas, a/o %dungeon_name% incomoda de mais a nossa aldeia. É como se atraísse todos os tipos de vilões.#Não conseguimos aguentar mais. É hora de ver por nós mesmos, o que exatamente atrai toda essa multidão. Se você limpar a cripta e descobrir a causa dessa praga, eu o recompensarei generosamente.;修会当年建这些墓穴，谁也想不到后来会招惹这么多麻烦……而且，这几个墓穴，就数%dungeon_name%这个最让我们村子遭罪，感觉各种各样的恶人全都被它引来了。#我们实在受不了了，只能花钱请人过去看看，到底是什么东西招来了这群兔崽子。你要是能把他们全收拾了，然后找到祸根，我绝对不会让你吃亏。;Zu der Zeit, als der Orden die Krypten baute, konnte sich niemand vorstellen, dass sie am Ende so lästig sein würden... Und von allen stört %dungeon_name% unser Dorf am meisten. Es ist, als ob sie alle Arten von Bösewichten anlockt.#Wir können es einfach nicht mehr ertragen. Es ist an der Zeit, einmal zu schauen, was genau dieses ganze Gesindel anzieht. Wenn du die Krypta ausräumst und die Ursache für diese Plage entdeckst, werde ich dich großzügig belohnen.;;;;;Kiedy Zakon budował krypty, nikt nie spodziewał się, że wszystko zakończy się tak kłopotliwie... I spośród nich wszystkich to właśnie %dungeon_name% powoduje największe problemy dla okolicznych wsi. Tak, jakby właśnie ta krypta ściągała wszelkich niegodziwców z okolicy.#Nie możemy żyć w taki sposób dłużej. Pora zobaczyć na własne oczy, co sprowadza te całe zło właśnie w to miejsce. Jeżeli oczyścisz kryptę i odkryjesz, co się za tym kryje, otrzymasz dobrą zapłatę.
3;По словам старейшины %village_name%, склеп под названием %dungeon_name% притягивает к себе культистов и некромантов. Мне нужно отправиться туда и найти причину этой напасти.;De acordo com o ancião de %village_name%, a/o %dungeon_name% atrai cultistas e necromantes. Preciso chegar lá e descobrir a fonte dessa praga.;据%village_name%的村长称，许多邪教信徒和死灵法师聚集在%dungeon_name%。我要前往那里，探明这场祸害的根源。;Nach Angaben des Ältesten von %village_name% zieht %dungeon_name% Kultisten und Nekromanten an. Ich muss dorthin gelangen und die Quelle dieser Plage ausfindig machen.;;;;;%village_name% w imieniu starszego szuka kogoś, kto oczyści miejsce spoczynku ze zła. %dungeon_name% musi zostać oczyszczona z kultystów i nekromantów. Oznalezienie źródła potworności i jego zlikwidowanie zostanie opłacone.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить предводителя культа;Mate o líder do culto;杀死邪教头目;Töte den Kultistenanführer;;;;;Zabij lidera Kultystów.
6;Найти источник порчи;Encontre a fonte da corrupção;找到腐坏之源;Finde die Quelle der Verdorbenheit;;;;;Odnajdź źródło Spaczenia.
7;Вернуть амулет старейшине;Traga o Amuleto para o Ancião;将护符交给村长;Bringe das Amulett zurück zum Ältesten;;;;;Pokaż amulet starszemu.
;con_8;con_8;con_8;con_8;con_8;con_8;con_8;con_8;con_8
1;Странное свечение;Brilho Misterioso;神秘蓝光;Geheimnisvolles Glühen;;;;;Tajemnicza Poświata
2;Последние дни у нас опять неспокойно - и виной тому %dungeon_name%. Ближе к ночи один пастух гнал обратно свои стада. Он рассказывал, что двери склепа были полуоткрыты и из них исходил мертвенный синий свет...#Что-то тут нечисто. Конечно, ему могло и привидеться... Но в таких делах лучше перебдеть.#Отправься в склеп и разузнай, правдивы ли слухи. А затем доложишь мне о своих успехах.;Estes últimos dias foram preocupantes para nós, e a razão para isso é a/o %dungeon_name%. Tivemos um pastor passando por ali, enquanto conduzia de volta o seu rebanho à noite. Ele nos disse que os portões da cripta estavam entreabertos e uma luz azul mortal iluminando através da brecha...#Algo está acontecendo lá. Claro, ele poderia estar imaginando coisas... Mas acho que, nesse caso, é melhor prevenir do que remediar.#Entre nessa cripta e veja por si mesmo se os rumores são verdadeiros. Estarei esperando para ouvir sobre suas descobertas.;最近几天，村里担惊受怕的，全都是因为%dungeon_name%。那天夜里，有人赶着羊回家，路过墓穴的时候，看到墓门半掩，门缝里透着莹莹的蓝光……#估计里面是有什么古怪。是，也可能放羊的那人添油加醋了。不过，我觉得这种事情，还是去确认一下比较好。#你去墓穴里面探一探，看看传言说的是真是假。我在村里等你的消息。;Diese letzten Tage waren für uns beunruhigend, und der Grund dafür ist der Ort %dungeon_name%. Wir hatten einen Schäfer, der dort vorbei musste, während er abends seine Herde zurücktrieb. Er erzählte uns, dass die Tore der Krypta halb geöffnet waren und ein totenblaues Licht durch die Spalte sickerte... #Irgendetwas geschieht dort. Natürlich könnte er sich die Dinge auch einbilden... Aber ich denke, in diesem Fall ist es besser, auf Nummer sicher zu gehen.#Geh in die Krypta und sieh selbst, ob die Gerüchte wahr sind. Ich warte darauf, von deinen Beobachtungen zu hören.;;;;;W ciągu ostatnich dni mieliśmy we wsi duże problemy, powodem tego jest %dungeon_name%. Spotkałem się z pasterzem, który zaganiał swoje stado wieczorem z terenów niedaleko tego miejsca. Powiedział mi, że drzwi do krypty były półotwarte, a ze środka przez szczelinę biła dziwna niebieska poświata...#Coś się tam bardzo mocno dzieje. Oczywiście mógłby sobie wyobrażać różne bajki... Uważam jednak, że lepiej dmuchać na zimne.#Znajdź tę kryptę i zobacz na własne oczy, czy plotki są prawdziwe. Będę czekać na twoje odkrycia.
3;Старейшина %village_name% рассказал мне, будто %dungeon_name% источает странный свет по ночам. Мне нужно спуститься внутрь и найти причину этого явления.;O ancião de %village_name% me contou sobre a luz misteriosa vinda de %dungeon_name% à noite. Eu preciso chegar lá e descobrir o que está causando isso.;%village_name%的村长说%dungeon_name%夜里会发出神秘的光。我要过去探一探，看看到底是怎么回事。;Der Älteste von %village_name% erzählte mir von dem geheimnisvollen Licht, das nachts aus %dungeon_name% kommt. Ich muss dorthin gehen und herausfinden, was die Ursache dafür ist.;;;;;%village_name% ma zlecenie na sprawdzenie, co się dzieje w nocy na nieodległym cmentarzu. Celem jest %dungeon_name%. Mam sprawdzić, czy bijące z tego miejsca niebieskie światło to bajka, czy coś się za tym kryje.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить некроманта;Mate o Necromante;杀死死灵法师;Töte den Nekromanten;;;;;Zabij nekromantę.
6;Найти источник света;Encontre a Fonte da Luz;找到光亮的来源;Finde die Quelle des Lichts;;;;;Znajdź źródło światła.
7;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung ab;;;;;Wróć do starszego po nagrodę.
;con_9;con_9;con_9;con_9;con_9;con_9;con_9;con_9;con_9
1;Нечестивый обряд;Ritual Profano;邪术仪式;Unheiliges Ritual;;;;;Przeklęty Rytuał
2;Неподалёку от склепа под названием %dungeon_name% недавно видели человека в тёмных одеяниях. Говорят, он поселился внутри и проводит там некие нечестивые обряды, тревожа вечный сон мертвецов.# Неспокойно нам: а вдруг нашлёт мор на деревню? Я хотел было отправить туда нашу стражу разобраться, да у них от такой чертовщины душа в пятки уходит.#Только и остаётся обращаться к наёмникам вроде тебя. Положи этому конец, а денег мы тебе заплатим вдоволь.;Havia um homem com vestes escuras avistado perto de %dungeon_name% recentemente. Parece que ele o transformou na sua residência, praticando rituais profanos e perturbando os mortos.#Não nos sentimos seguros: e se ele enviar uma praga para a nossa aldeia? No início, planejei em enviar os nossos guardas, mas eles não têm coragem suficiente para lidar com esse diabólico. A nossa última esperança são mercenários como vocês. Ponha um fim nisso, e lhe pagaremos generosamente.;最近有人经常能在%dungeon_name%看见一个黑袍男人，好像已经在那里住下了，天天举行邪术仪式，搅扰亡灵。#我们心里实在不踏实，他这说不定就是在给我们村降瘟疫呢。我本来想派护卫过去看看，可是他们都没那个胆量。#所以呢，我们现在只能指望你们雇佣兵了。你去把那个人解决了，我们不会亏待你。;Vor kurzem wurde ein Mann in dunklen Roben in der Nähe des Orts %dungeon_name% gesichtet. Es scheint, als hätte er ihn zu seiner Residenz gemacht, unheilige Rituale praktiziert, und die Toten gestört.#Wir fühlen uns nicht sicher: Was ist, wenn er eine Seuche in unserem Dorf herauf beschwört? Zuerst wollte ich unsere Wachen schicken, aber sie haben einfach nicht genug Mut, um mit dieser Teufelei fertig zu werden.#Unsere letzte Hoffnung sind Söldner wie du. Mach dem ein Ende, und wir werden dich gut bezahlen. ;;;;;W ostatnim czasie widziano zakapturzoną postać nieopodal miejsca zwanego %dungeon_name%. Wygląda na to, że urządził tam swoją rezydencję praktykując przeklęte rytuały oraz zakłócając spoczynek zmarłych.#Nie czujemy się bezpiecznie. Co jeżeli planuje zesłać zarazę na wioskę? Na początku planowałem wysłać straże, ale nie mają wystarczająco dużych jaj, by mierzyć się z tym diabelstwem.#Naszą ostatnią nadzieją są najemnicy, tacy jak ty. Rozwiąż ten problem, a sowicie cię opłacimy.
3;Старейшина %village_name% рассказал, что в склепе под названием %dungeon_name% поселился некий культист, проводящий там нечестивые обряды. Мне нужно спустить внутрь, убить его и прервать ритуал.;O ancião de %village_name% me falou do culto que se instalou no %dungeon_name%, usando-o como um lugar para realizar seus rituais profanos. Eu preciso chegar lá, matá-lo, e Interromper o Ritual.;%village_name%的村长说%dungeon_name%住了一个邪教徒，天天在那里举行邪术仪式。我要过去干掉他，终止他的邪术仪式。;Der Älteste von %village_name% erzählte mir von dem Kultisten, der sich im Ort %dungeon_name% niedergelassen hat und ihn als Platz für seine unheiligen Rituale benutzt. Ich muss dorthin, ihn töten und das Ritual unterbrechen.;;;;;Wieś %village_name% ma zlecenie na kultystę, który nawiedza okolicę. Celem jest %dungeon_name%, w którym widziany ostatnio podróżnik w czerni uprawia przeklęte rytuały. Starszy wsi dobrze zapłaci za pozbycie się go i przerwanie rytuałów.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить некроманта;Mate o Necromante;杀死死灵法师;Töte den Nekromanten;;;;;Zabij nekromantę.
6;Прервать ритуал;Interrompa o Ritual;终止邪术仪式;Unterbreche das Ritual;;;;;Przerwij rytuał.
7;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung;;;;;Wróć do starszego po nagrodę.
;con_10;con_10;con_10;con_10;con_10;con_10;con_10;con_10;con_10
1;Разбойничье логово;Covil dos Bandidos;土匪老窝;Banditenhöhle;;;;;Melina Bandytów
2;С этим контрактом всё просто. Неподалёку от деревни есть старые руины - %dungeon_name%. Их вечно обживают всякие лиходеи: стоит страже выкурить оттуда одну банду, как на её место тут же приходит другая.#Сейчас фортом заправляет %boss_name% - редкостный подонок, которому давно пора в петлю. Лишних людей, способных зачистить и удержать эти развалины, у меня нет, так что приходится просить о помощи наёмников вроде тебя.#Задача простая: проникнуть внутрь и убить вожака. Остальные разбегутся сами. Берёшься?;Este contrato é bem simples. Há ruínas antigas perto da nossa vila - %dungeon_name%. São sempre habitados por todo o tipo de pessoas Inescrupulosas: no momento em que nossos guardas espantam um bando, outro grupo imediatamente ocupa o local.#No momento, o forte está nas mãos de %boss_name%, um bastardo raro e merecedor de um laço. Não temos homens suficientes para limpar e manter essas ruínas, por isso tenho que confiar em mercenários como você.#A tarefa é simples: entre, mate o líder deles e o resto fugirá. Você está disposto para isso?;这个活儿很简单。我们村附近有一个废弃的要塞，叫%dungeon_name%，经常引来下流无耻之徒。村里的护卫前脚放火熏走一帮，后脚马上就又会有一伙占了那个地方。#要塞眼下落在了%boss_name%手里，这家伙是世间少有的混蛋，为恶多端，就算绞死也不过分。我们没有那么多人手去收拾他们，也没人手看守废墟，所以只能靠你们雇佣兵了。#任务很简单：进入要塞，干掉头目，之后应该就不会有人再来了。你干不干？;Dieser Auftrag ist ziemlich einfach. Es gibt alte Ruinen in der Nähe unseres Dorfes - %dungeon_name%. Sie ziehen oft skrupellose Typen an: In dem Moment, in dem unsere Wachen die eine Bande ausräuchert, lässt sich die nächste schon nieder.#Im Moment ist die Festung in den Händen von %boss_name%, einem seltenen Bastard, der die Schlinge verdient hat. Wir haben nicht genug Männer, um diese Ruinen auszuheben und zu sichern, also bin ich auf Söldner wie dich angewiesen.#Die Aufgabe ist einfach: Geh hinein, erschlage den Anführer, und der Rest sollte fliehen. Bist du dem gewachsen?;;;;;Kontrakt jest bardzo prosty. W pobliżu naszej wioski znajdują się ruiny. Ich nazwa to %dungeon_name%. To miejsce przyciąga różnych typów spod ciemnej gwiazdy jak lep na muchy. Nasi strażnicy niedawno wypędzili jedną grupę, a już rozsiadła się tam kolejna.#Aktualnie ruiny są w posiadaniu człowieka imieniem %boss_name%. To niezły drań, zasługujący na stryczek. Nie mamy tylu ludzi, by odbić ruiny i obsadzić je naszymi żołnierzami, więc muszę polegać na najemnikach.#Zadanie jest proste. Dostań się do środka, poderżnij gardło liderowi, a reszta powinna zrobić w gacie i uciec. Zgoda?
3;Старейшина %village_name% жалуется на распоясавшихся разбойников, что обосновались в месте под названием %dungeon_name%. Мне нужно пробраться внутрь и убить их вожака.;O ancião de %village_name% quer que eu lide com o bando de bandidos indisciplinados, que transformaram %dungeon_name% no esconderijo deles. Eu preciso chegar até lá e matar o líder deles.;有一群无法无天的土匪，把%dungeon_name%变成了他们的老窝，%village_name%的村长想让我过去，干掉他们的头目。;Der Älteste von %village_name% möchte, dass ich mich mit der Bande widerspenstiger Banditen befasse, die %dungeon_name% zu ihrer Behausung gemacht haben. Ich muss dorthin und ihren Anführer töten.;;;;;%village_name% wywieszono zlecenie na bandytów, którzy zajęli nieodległe ruiny. Starszy wioski szuka zlecił udać się do miejsca, które na mapach widjenie jako %dungeon_name%. Kontrakt zostanie zakończony po śmierci lidera.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung ab;;;;;Wróć do starszego po nagrodę.
7;noone;noone;noone;noone;;;;;
;con_11;con_11;con_11;con_11;con_11;con_11;con_11;con_11;con_11
1;Таинственные исчезновения;Mysterious Disappearances;离奇失踪;Mysteriöses Verschwinden;;;;;Tajemnicze Zniknięcia
2;О месте под названием %dungeon_name% ходит недобрая слава. Поблизости часто пропадают люди, а по ночам неподалёку то и дело видят не то чудищ людоподобных, не то людей со звериными повадками... Один слух жутче другого.#Не по нраву нам такое соседство. Разберись, что за дьявольщина творится внутри. Как справишься, получишь награду.;%dungeon_name% tem uma má reputação. As pessoas geralmente desaparecem ao seu redor e, durante algumas noites, animais estranhos podem ser vistos lá. Ou humanos que agem como bestas ... Os rumores são inquietantes.#Não queremos esse tipo de vizinhos. Vá lá e lide com o que diabos pode está acontecendo lá dentro. Quando terminar, a recompensa é sua.;%dungeon_name%这个地方最近开始有些古怪，附近经常有人失踪，晚上还有人在那儿看见过奇怪的生物，不是真的就是人扮的……这些传言搞得大家人心惶惶。#我们不想村旁总有这种东西出没，要是你能搞定那个地方，赏金就归你了。;%dungeon_name% hat einen schlechten Ruf. Oft verschwinden Leute in der Nähe, und in manchen Nächten können dort seltsame Bestien gesichtet werden... oder Menschen, die sich wie Bestien verhalten... Die Gerüchte sind beunruhigend.#Wir wollen diese Art von Nachbarn nicht. Geh dahin und kümmere dich um das, was auch immer im Inneren vor sich geht. Wenn du fertig bist, gehört die Belohnung dir.;;;;;%dungeon_name% to miejsce o bardzo złej reputacji. Nieświadomi ludzie często znikają zapuszczając się w tamtejszą okolicę. Mało tego, w nocy można zauważyć tam dziwne bestie. Albo ludzi, którzy zachowują się jak bestie... Plotki nie wróżą nic dobrego.#Nie chcemy mieć takiego towarzystwa wokół wioski. Udaj się tam i rozpraw z tym, co do cholery siedzi w środku. Jak tylko to uczynisz, nagroda jest twoja.
3;Старейшина %village_name% рассказал, что вокруг места под названием %dungeon_name% пропадают люди. Нужно спуститься вниз и разузнать, кто за этим стоит.;O ancião de %village_name% me disse que as pessoas começaram a desaparecer em torno de %dungeon_name%. Preciso chegar lá e descobrir quem está por trás disso.;%village_name%的村长说%dungeon_name%附近频频有人离奇失踪。我要过去探一探，看看到底是什么人在捣鬼。;Der Älteste von %village_name% erzählte mir, dass Menschen um %dungeon_name% herum verschwinden. Ich muss dorthin gehen und herausfinden, wer dahinter steckt.;;;;;Wieś %village_name% ma zlecenie od starszego. Celem dla najemnika jest miejsce znane jako %dungeon_name%. Należy ustalić, co dzieje się z ludźmi, którzy znikają bez śladu w tej okolicy.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить предводителя культа;Mate o líder do culto;杀死邪教头目;Töte den Kultistenanführer;;;;;Zabij lidera kultu.
6;Вернуться за наградой;Reivindique a Recompensa;领取奖赏;Hole dir deine Belohnung;;;;;Wróć do starszego po nagrodę.
7;noone;;;;;;;;
;con_12;con_12;con_12;con_12;con_12;con_12;con_12;con_12;con_12
1;Украденные товары;Bens roubados;货物被抢;Gestohlene Waren;;;;;Skradzione Dobra
2;На дорогах нынче неспокойно. Осбрук тем только и живёт, что зерно в Бринн поставляет, а местные разбойники из места под названием %dungeon_name% продыху нам не дают - перехватывает каждый воз.#Надоело нам это. Если ты отправишься в %dungeon_name%, убьёшь их вожака и вернёшь украденный товар, я за это неплохо заплачу. Думай.;As estradas não são seguras hoje em dia. Vender grãos para Brynn é a única coisa que mantém Osbrook à tona, mas os bandidos locais de %dungeon_name% não deixam isso mais fácil. Eles interceptam cada carroça que enviamos.#Estamos cansados disso. Se você chegar a %dungeon_name%, matar o líder e devolver os bens roubados, eu pago bem. Pense nisso.;奥斯布鲁克现在全靠向布林卖粮食维持村里的财政，可是只要有%dungeon_name%的土匪在，我们就别想把粮食送过去。我们送一车，他们截一车。我们送一车，他们截一车。#父老乡亲已经忍无可忍，你要是能去%dungeon_name%干掉他们老大，把他们截的粮食送回来，我绝对不会让你后悔。考虑考虑吧。;Die Straßen sind heutzutage nicht mehr sicher. Der Verkauf von Getreide nach Brynn ist das Einzige, was Osbrook über Wasser hält, aber die örtlichen Banditen von %dungeon_name% machen es uns nicht leicht. Sie fangen jeden unserer Karren ab.#Wir haben es satt. Wenn du nach %dungeon_name% reist, ihren Anführer tötest und das Diebesgut zurückbringst, werde ich dich gut bezahlen. Denke bitte darüber nach.;;;;;Drogi w dzisiejszych czasach nie są bezpieczne. Sprzedawanie zborza do Brynn jest jedyną rzeczą, jaka trzyma Osbrook na powierzchni, ale lokalni bandyci z miejsca nazywanego %dungeon_name% nie ułatwiają nam tego. Przechwytują niemal każdy wóz.#Mamy tego dość. Jeżeli dostaniesz się do %dungeon_name% i zabijesz ich lidera oraz zwrócisz skradzione dobra, dobrze ci zapłacimy. Pomyśl o tym.
3;Старейшина %village_name% пожаловался, что в форте под названием %dungeon_name% обосновалась банда, грабящая торговая пути. Мне нужно убить их главаря и вернуть украденный товар.;O ancião de %village_name% reclamou que um bando de bandidos morando em %dungeon_name%, pilhando as rotas comerciais. Eu preciso matar o líder deles e devolver os bens roubados.;%village_name%的村长说一帮土匪占了%dungeon_name%，在周边的商路打劫。我要干掉他们的头目，找回他们截下的粮食。;Der Älteste von %village_name% beschwerte sich darüber, dass sich eine Bande von Banditen am Ort %dungeon_name% niederließ und die umliegenden Handelswege plündert. Ich muss ihren Anführer töten und die gestohlenen Waren zurückgeben.;;;;;Starszy we wsi %village_name% ogłosił zlecenie na grupę bandytów, którzy rozsiedli się w miejscu nazywanym %dunegon_name%. Napadają i rabują okoliczne szlaki handlowe. Zadanie polega na pozbyciu się lidera i odzyskaniu skradzionych dóbr.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Найти украденное зерно;Encontre os grãos roubado;找回被劫的粮食;Finde das gestohlene Getreide;;;;;Znajdź skradzione Zboże.
7;Вернуть зерно старейшине;Traga os grãos de volta ao ancião;将粮食交给村长;Bringe das Getreide zurück zum Ältesten;;;;;Zwróć Zboże starszemu, by odebrać nagrodę.
;con_13;con_13;con_13;con_13;con_13;con_13;con_13;con_13;con_13
1;Перехваченные донесения;Relatórios interceptados;文书被截;Abgefangene Berichte;;;;;Przechwycone Raporty
2;Недавно головорезы из места под названием %dungeon_name% перехватили магистратского гонца. Беднягу выпотрошили, вздёрнули на дереве, а донесения умыкнули.#Боюсь, если об этом прознают наверху, быть беде.#У меня мысля такая: если бы ты отправился туда, отомстил за посла да вернул бумаги, можно было бы замять это дело. Заплачу я щедро.;Poucos dias atrás, um bando de assassinos de %dungeon_name% interceptou o mensageiro do magistrado. Eles estriparam o pobre coitado e o penduraram em uma árvore, também levaram seus relatórios.#Receio que, se o magistrado perceber o que aconteceu, não acabará bem para nós.#Tenho uma ideia: se você for naquele lugar, e se vingar do mensageiro, e recuperar os papéis, provavelmente poderíamos varrer tudo isso para debaixo do tapete. Pagarei generosamente assim que terminar.;前几天，%dungeon_name%有一群亡命之徒劫了城市联盟的信使。他们把他肚子里的东西掏出来了，然后把人吊在了树上，还拿走了他要送的文书。#要是城市联盟听说了这件事，恐怕我们都没有好果子吃。#我有这么个主意------你去替那个信使报了仇，然后把文书带回来，这件事情说不定就这么过去了。事成之后，赏金丰厚。;Vor wenigen Tagen hat eine Gruppe von Halsabschneidern am Ort %dungeon_name% den Boten des Magistrats abgefangen. Sie haben den armen Kerl ausgeweidet und ihn an einen Baum gehängt, und seine Berichte mitgenommen.#Ich fürchte, wenn der Magistrat davon Wind bekommt, wird es nicht gut für uns ausgehen.#Ich habe folgende Idee: Wenn du dorthin gehst, dich für den Boten rächen und die Papiere zurückholen würdest, könnten wir die ganze Sache wahrscheinlich unter den Teppich kehren. Ich werde dich großzügig bezahlen, sobald du fertig bist.;;;;;Kilka dni temu banda podżynaczy z miejsca oznaczonego na mapach jako %dungeon_name% przechwyciła posłańca Magistratu. Wypatroszyli biedaka i powiesili go na drzewie, również zabrali jego raporty.#Przekonany jestem, że jeżeli do Magistratu dotrze wieść o tym, nie skończy się to dla nas dobrze.#Mam pewien pomysł. Jeżeli udasz się na miejsce, pomścisz posłańca i odzyskasz jego papiery, może uda nam się zamieść tę sprawę pod dywan. Sowicie cię opłacę, jeżeli ukończysz te zadanie. 
3;Бандиты из бастиона под названием %dungeon_name% убили магистратского гонца и похитили его донесения. Старейшина %village_name% нанял меня, чтобы убить главаря разбойников и вернуть важные бумаги.;Os bandidos de %dungeon_name% mataram o mensageiro do magistrado e roubaram seus relatórios. O ancião de %village_name% me contratou para matar o líder deles e recuperar os documentos importantes.;%dungeon_name%的土匪杀了城市联盟的信使，抢了他送的文书。%village_name%的村长花钱请我干掉土匪头子，取回书信。;Die Banditen am Ort %dungeon_name% töteten den Boten des Magistrats und stahlen seine Berichte. Der Älteste von %village_name% beauftragte mich, ihren Anführer zu töten und die wichtigen Papiere zu beschaffen.;;;;;Starszy w wiosce zwanej %village_name% zlecił zadanie pomszczenia posłańca Magistratu, którego zamordowali bandyci. Zabrali jego papiery. Celem jest pozbycie się ich dowódcy w okolicy miejsca określanego jako %dungeon_name% i zwrócenie dokumentacji.
4;Отправиться в %dungeon_name%;Vá até a/o %dungeon_name%;前往%dungeon_name%;Begib dich nach: %dungeon_name%;;;;;%dungeon_name% to miejsce poszukiwań.
5;Убить главаря разбойников;Mate o Líder da Brigada;杀死土匪头目;Töte den Banditenanführer;;;;;Zabij Lidera bandytów.
6;Найти донесения;Encontre os Relatórios;找到书信;Finde die Berichte;;;;;Odnajdź raporty.
7;Вернуть донесения старейшине;Traga os relatórios de volta para o ancião;将书信交给村长;Bringe die Berichte zurück zum Ältesten;;;;;Zwróć raporty starszemu, by odebrać nagrodę.
;con_14;con_14;con_14;con_14;con_14;con_14;con_14;con_14;con_14
1;Алхимический набор;Kit de Alquimia;炼金设备;Alchemieapparatur;;;;;Zestaw Alchemiczny
2;Недавно через наши края проезжал один чудак-торговец. И угораздило его напороться на бандитов из логова под названием %dungeon_name%. Жизнь-то он себе выторговал, а вот со всем остальным распрощался.#А вёз он набор каких-то архиважных склянок по заказу видного человека. Говорит, если тот о пропаже узнает - не видать ему своей головы.#Может подсобишь этому горемыке? Он обещал хорошо заплатить своему спасителю.;Não faz muito tempo, tínhamos um comerciante estranho passando por nossas terras. De alguma forma, ele conseguiu tropeçar nos bandidos de %dungeon_name%. Ele os pagou e se safou com vida, mas teve que dar adeus aos seus bens.#Entre outras coisas, ele estava transportando um conjunto de frascos muito importantes sob as ordens de um figurão. O comerciante me disse que, se o empregador souber dos bens desaparecidos, ele estará acabado.#Talvez você possa ajudar o pobre coitado? Ele prometeu pagar bem a seu salvador.;前段时间，有个古怪的商人路过我们这里，半道遇上了%dungeon_name%的土匪。他保住了性命，但是带的货物全都扣在了土匪手上。#商人当时带了不少东西，其中有一件是大人物订的重要容器。他说，要是这位客户知道东西丢了，拿他就完了。#你看能不能帮他一把？他说事成之后，一定重金酬谢。;Vor nicht allzu langer Zeit war ein seltsamer Händler auf der Durchreise durch unser Land. Irgendwie schaffte er es, über die Banditen am Ort %dungeon_name% zu stolpern. Er bezahlte sie und kam mit seinem Leben davon, aber er musste seiner Ware zum Abschied zuwinken.#Unter anderem transportierte er auf Befehl eines hohen Tieres eine Reihe sehr wichtiger Fläschchen. Der Händler sagte mir, wenn sein Arbeitgeber von den fehlenden Waren erfährt, ist er erledigt.#Vielleicht könntest du dem armen Kerl aushelfen? Er versprach, seinen Retter gut zu bezahlen.;;;;;Nie tak dawno temu przez nasze ziemie przechodził dziwaczny handlarz. Wyszło tak, że natknął się na bandytów z miejsca, jakie nazywamy %dungeon_name%. Zapłacił im, dzięki temu uszedł z życiem, ale musiał pomachać ręką na swoje zostawione u nich dobra.#Pośród klamotów transportował zestaw bardzo ważnych fiolek z rozkazu jakiejś grubej ryby. Handlarz zdradził mi, że jeżeli jego pracodawca dowie się o utraconych dobrach, będzie skończony.#Może dasz radę mu pomóc? Obiecał dobrze opłacić swojego wybawcę.
