Номера по спискам;Русский;English;中文;Deutsch;Español;Français;Italiano;Polski
Electromancer Staff;Злопыхатели из Круга Пиромантов в своё время распустили слух, что основатель Круга Электромантов Фрид Коннокен погиб, уронив такой посох в уличную лужу. ;Some ill-wishers from the Circle of Pyromancy used to spread rumors that the founder of the Circle of Electromancy Frid Konnoken met his demise when he dropped one of these staffs in a street puddle.;炎术法会过去曾有居心不良之人散步谣言，声称电术法会会长弗利得·孔诺肯某次因为没有拿住自己的电术法杖，令其掉在了路上的水洼，因而触电身亡。;Einige Missgünstige aus dem Kreis der Pyromantie verbreiteten früher Gerüchte, dass der Gründer des Kreises der Elektromantie, Frid Konnoken, sein Ende fand, als er einen dieser Stäbe in einer Straßenpfütze fallen ließ.;;;;Część złośliwych z Kręgu Piromantów lubiło roznosić plotki, że założyciel Kręgu Elektromantów Frid Konnoken zszedł z tego świata, kiedy upuścił jedną z takich lasek prosto w kałużę na ulicy.
Astromancer Staff;Астроманты утверждают, будто этот посох с поразительной точностью моделирует движение нашей... как они её называют? Ах да, "планеты".;Astromancers claim that this staff possesses an astonishingly precise ability to model the movement of our... how do they call it? Right, our "planet".;据许多星术法师称，这根长杖可以精准模拟我们……他们说的那个词是什么来着？噢对，可以模拟我们“星球”移动的情况。;Astromanten behaupten, dass dieser Stab die erstaunlich präzise Fähigkeit besitzt, die Bewegung unseres Planeten zu modellieren. ;;;;Astromancerzy zarzekają się, że ta laska posiada w sobie niesamowicie precyzyjny model ruchu naszej... jak oni to nazywają? Ah tak, naszej "planety".
Cryomancer Staff;Любимая прибаутка криомантов - говорить, что от этого посоха кровь стынет в жилах. Последний раз над этой шуткой смеялись лет эдак сто назад.;Cryomancers like to joke about this staff and its bone chilling properties. The last time anyone laughed at this saying was a century ago.;冰术法术喜欢拿这根长杖开玩笑，不过这种笑话已经有一百多年没把人逗笑过了。;Kryomanten scherzen gerne über diesen Stab und seine knochenkühlenden Eigenschaften. Das letzte Mal, dass jemand über diesen Spruch lachte, ist ein Jahrhundert her.;;;;Cryomancerzy lubią sobie żartować o tej lasce i jej mrożących do kości możliwościach. Ostatni, który śmiał się z tego żartu żył ponad sto lat temu.
Psimancer Staff;Ладонь на навершии странным образом привлекает внимание... Просто глаз не оторвать.;The open palm on top of this staff has a strange tendency to attract glances... It's hard to look away.;长杖顶部张开的手掌总是能够吸引人们的主意，非常诡异……而且一旦注意，视线就很难再从手掌上移开了。;Die offene Fläche oben auf diesem Stab hat die seltsame Tendenz, Blicke anzuziehen... Es ist schwer, wegzuschauen.;;;;Otwarta palma na szczycie tej laski ma dziwną tendencję do skupiania spojrzeń... Co się zobaczyło, to się nieodzobaczy.
Arcanist Staff;Не пытайтесь выковырять зачарованный аметист из набалдашника, если вам не хочется провести остаток жизни где-то в другом измерении.;Don't attempt to pry out the enchanted amethyst from the headpiece unless you plan to spend the rest of your life in some distant dimension.;你要是不想在某个遥远的维度度过下半辈子，就别想着撬下杖头附了魔法的紫水晶。;Probiere nicht, den verzauberten Amethysten aus dem Kopfstück herauszuholen, es sei denn, du hast vor, den Rest deines Lebens in einer entfernten Dimension zu verbringen.;;;;Nie próbuj wydłubać ametystu ze szczytu tej laski, jeżeli nie planujesz spędzić reszty swojego życia w jakiejś odległej czasoprzestrzeni.
Geomancer Staff;Этот посох сделан из почти несокрушимой горной породы... и при этом весит куда легче деревянного.;This staff is fashioned from nigh indestructible stone... yet it weighs much lighter than wood.;这根法杖的材质是某种几乎无法摧毁的石头……可是它却比木头还要轻上很多。;Dieser Stab ist aus nahezu unzerstörbarem Stein gefertigt... und doch ist er viel leichter als Holz.;;;;Ta laska jest udekorowana ciemnym, wręcz niezniszczalnym typem kamienia... mimo to, waży mniej niż drewno.
Necromancer Staff;Поговаривают, что среди некромантов особенно престижным считается сделать посох из черепа собственноручного замученного священника или охотника на ведьм.;There are rumors that some necromancers consider it prestigious to carve their staffs out of the skull of a personally tortured cleric or witch hunter.;有些死灵法师据说热衷折磨牧师或者女巫猎手，他们觉得自己如果能够将这些人亲手虐杀，而后再用他们的头骨雕出一把法杖，那会是一件非常光彩的事情。;Es gibt Gerüchte, dass einige Nekromanten es für prestigeträchtig erachten, ihre Stäbe aus dem Schädel eines persönlich gefolterten Klerikers oder Hexenjägers zu schnitzen.;;;;Słychać czasami plotki, jakoby niektórzy nekromanci preferowali prestiżowe laski mające w sobie wyryte czaszki osobiście torturowanych kleryków albo łowców wiedźm.
Chronomancer Staff;Рано или поздно время кончится у всех - даже у хрономантов. Этот посох, впрочем, помогает слегка замедлить этот процесс.;Sooner or later the time runs out for everyone, even for chronomancers. This staff, however, helps to slow down this process a bit.;不论是谁，就算命术法师，寿命也有终结之时。不过，这个法杖可以推迟终结的时日。;Früher oder später läuft die Zeit für alle ab, auch für Chronomanten. Dieser Stab hilft jedoch, diesen Prozess etwas zu verlangsamen.;;;;Prędzej czy później na każdego przyjdzie czas. Nawet na Chronomancerów. Ta laska jednak pozwala nieco spowolnić ten proces.
Orient Staff;И всё-таки эльфы знают толк в тонких ремёслах: видно, что мастер неплохо потрудился над этим великолепно украшенным посохом.;Never mind the naysayers, elves do have a knack for fine craftsmanship. It's clear that this magnificently decorated staff has seen much attention from a master craftsman.;无论那些抬杠的人怎么说，精灵族制作精细的东西确实有一手。这根法杖雕饰华美，显然出自一位大师之手。;Vergiss die Neinsager, Elfen haben ein Händchen für feines Kunsthandwerk. Es ist klar, dass dieser prächtig verzierte Stab viel Aufmerksamkeit von einem Meister erfahren hat.;;;;Nie słuchajcie malkontentów, elfy mają smykałkę do rzemiosła. To oczywiste, że ta majestatycznie dekorowana laska była oczkiem w głowie jej utalentowanego twórcy.
Vampiric Staff;Этот посох наполняет воздух вокруг тяжёлым запахом застоявшейся крови.;This staff fills the air around it with a heavy smell of stale blood.;这根法杖拿到哪里，哪里的空气就会充斥着血液浓重的腐腥。;Dieser Stab füllt die Luft um ihn herum mit einem schweren Geruch von abgestandenem Blut.;;;;Ta laska wypełnia okoliczne powietrze ciężkim zapachem zatęchłej krwi.
Relict Staff;Могущественный артефакт давно ушедшей цивилизации. Его потенциал потрясает воображение.;A powerful artifact of a long gone civilization. Its potential boggles the mind.;这件武器应该源自某个早已失落的文明，威力巨大，一般人根本想象不到它有多大的本事。;Ein mächtiges Artefakt einer längst vergangenen Zivilisation. Sein Potenzial überwältigt den Verstand.;;;;Potężny artefakt od dawna upadłej cywilizacji, jej potencjał wręcz zakłóca myślenie.
;;;;;;;;
Metal Rod;Если таким огреть - мало не покажется.;Getting smacked with this thing is not something one can easily walk off.;要是挨了这个东西一下，就算不残废，也不会毫发无伤。;Mit diesem Ding geschlagen zu werden, ist nichts, womit man leicht umgehen kann.;;;;Dostanie w bańkę tym czymś na pewno nie pozwoli ofierze odejść daleko.
Cudgel;Такой дубиной может сражаться только неотёсанная деревенщина.;A crude club for a crude peasant.;农民斗殴最爱用这种武器。;Ein grober Knüppel für einen groben Bauern.;;;;Nędzna pałka dla nędznego wieśniaka.
Spiked Club;Обычная деревянная палица, усеянная устращающими шипами. Её удары очень неприятны.;A wooden mace, bristling with imposing spikes. The wounds it leaves are less than pleasant.;一根木质钉头锤，顶部扎了许多长钉，这个东西打在身上，伤得肯定不会轻。;Ein hölzerner Streitkolben, der mit imposanten Stacheln bestückt ist. Die Wunden, die er hinterlässt, sind nicht gerade angenehm.;;;;Drewniana maczuga, nabita gwoździami. Rany tym zadane nie należą do przyjemnych.
Peasant Flail;В мирное время такими цепами молотят зерно. В военное - отбиваются от мародёрствующих дезертиров.;During peacetime these flails are used to thresh wheat. During wartime - to chase off maradeuring deserters.;和平年代，这是打谷的农具。战争年代，这是驱赶为非作歹的逃兵的利器。;In Friedenszeiten werden diese Dreschflegel zum Dreschen von Weizen verwendet. In Kriegszeiten - um marodierende Deserteure zu verjagen.;;;;W latach pokoju, ten cep używany jest do młócenia zbożą. W latach wojny do przeganiania dezerterów.
Militia Flail;Деревенское ополчение собирается тогда, когда помощи больше ждать неоткуда. В таких случаях оружием становится всё, что попадётся под руку.;Village militias are only called upon as a last resort. In that case anything can become a weapon.;只有到了迫不得已的时候，村庄才会召集民兵，什么东西到了他们手里，都能变成武器。;Dorfmilizen werden nur als letztes Mittel eingesetzt. In diesem Fall kann alles zur Waffe werden.;;;;Wiejska milicja może być formowana tylko jako ostatnia deska ratunku. Wtedy wszystko może być bronią.
Militia Club;Среди крестьян такие дубинки зовутся "улитками" - навершие-завиток прибавляет ударной силы, помогая справиться с неплохо защищённым врагом.;Peasants call these clubs "snails" - the headpiece is fashioned into a curly shape for some extra heftiness, providing a better chance against a well armored opponent.;农民都管这种棍子叫“蜗牛棍”，因为木棍的顶端卷了进去，这样拿在手里更稳当一些，攻击全身穿戴盔甲的对手，胜算更大一些。;Die Bauern nennen diese Keulen "Schnecken" - die Kopfbedeckung ist in einer gelockten Form geformt, um eine zusätzliche Stabilität zu erzielen und damit eine bessere Chance gegen einen gut gepanzerten Gegner zu haben.;;;;Wieśniacy nazywają tę broń ślimakiem - główka zawiera dodatkowe elementy w zakręcanej formie, by zadać dodatkowe obrażenia mocniej opancerzonym przeciwnikom.
Reinforced Club;С такими дубинками часто расхаживают стражники - чтобы запугать карманника большего и не нужно.;Clubs like this are often employed by the city guard - don't need much else to scare off a pickpocket.;这种棍子一般是给城里的护卫用，有了这个东西，基本上就能赶走扒人口袋的小偷了。;Keulen wie diese werden oft von der Stadtwache eingesetzt - es braucht nicht viel mehr, um einen Taschendieb abzuschrecken.;;;;Maczugi tego typu używane są głównie przez miejskich strażników - nic więcej nie trzeba, by wystraszyć kieszonkowca.
Heavy Club;Переходный этап между самодельными дубинами и полноценными булавами.;A transitional phase between makeshift clubs and real maces.;这是介于简易棍棒和真正的钉头锤之间的过渡产物。;Eine Übergangsphase zwischen behelfsmäßigen Schlägern und echten Streitkolben.;;;;Wyraźne przejście pomiędzy prosto robionymi maczugami, a buławami.
Skadian Bludgeon;Брус - простое, но на удивление эффективное оружие. Уж кто-кто, а скадийцы знают толк в булавах. ;A bludgeon is a surprisingly effective weapon. Those Skadians sure know their maces.;锤棍的攻击效果非常好，那些斯卡迪亚人肯定最了解怎么用这种武器。;Ein Knüppel ist eine überraschend wirksame Waffe. Diese Skadier kennen ihre Streitkolben.;;;;Te ostrze jest zaskakująco skuteczną bronią. Ci Skadianie z pewnością znają się na swoich maczugach.
Footman Mace;Надежное оружие, не требующее особых навыков и тщательного ухода - за что и полюбилось простым солдатам.;A reliable weapon which doesn't require much skill or maintenance, it's eagerly used by common soldiers.;简单可靠，不需要太多技巧，也不用专意保养，非常适合普通的士兵使用。;Sie ist eine zuverlässige Waffe, die nicht viel Geschick und Pflege erfordert und von gewöhnlichen Soldaten eifrig benutzt wird.;;;;Klasyczna broń nie wymagająca wielkich umiejętności lub dbałości, jest zazwyczaj używana przez zwykłych żołnierzy.
Heavy Flail;В умелых руках цеп становится опаснейшим оружием, способным наносить страшные увечья.;In experienced hands a flail can become a deadly weapon, capable of dealing grievous wounds.;连枷如果到了擅长这种武器的人手上，就能变成致命的武器，只需一下，对手即便不会残废，也会重伤。;In erfahrenen Händen kann ein Dreschflegel zu einer tödlichen Waffe werden, die in der Lage ist, schmerzhafte Wunden zu verursachen.;;;;W doświadczonych rękach cep może być groźną bronią, zadającą śmiertelne rany.
War Flail;Гасило на конце может вести себя довольно непредсказуемо - поэтому это оружие требует куда большей сноровки, чем может показаться поначалу.;A flail like this can be quite unpredictable, demanding much more skill than you may initially assume.;这种连枷看起来平平无奇，但是用起来并不容易，需要相当熟悉这种武器，才能运用自如。;Ein solcher Dreschflegel kann recht unberechenbar sein. Er erfordert mehr Geschicklichkeit, als man zunächst annehmen mag.;;;;Cep taki jak ten może być całkowicie nieprzewidywalny, mogąc wymagać dużo więcej wprawy niż ci się wydaje.
Spiked Flail;Как любят говорить в народе, кистень - последний довод крестьянина.;As common folk like to say, a spiked flail is a peasant's final argument.;老百姓都说，农民也不是好惹的，急了也会拿钉头连枷招呼你。;Wie das gemeine Volk zu sagen pflegt, ist ein Stachelflegel das letzte Argument eines Bauern.;;;;Jak mówi wiejskie przysłowie: zaostrzony cep to ostatni argument wieśniaka.
Flanged Mace;Главное преимущество перначей? Они не застревают в проломленных черепах и латах.;What's the main advantage of flanged maces? They don't get stuck when they crush skulls and plate armor.;凸缘钉头锤最好的地方在哪里？在于它砸进头部或者板甲之后，还能轻松地拔出来。;Was ist der Hauptvorteil von geflanschten Streitkolben? Sie bleiben nicht stecken, wenn sie Schädel und Plattenpanzer zerdrücken.;;;;Jaka jest główna przewaga ostrej buławy? Nie ma jak ich zablokować klepiąc prosto w czaszkę lub pancerz.
Footman Flail;Кистени считаются оружием простолюдинов, однако иногда ими вооружаются и знатные лорды. Такие "благородные" кистени делаются на совесть.;Flails are often considered to be a weapon for those of low birth, but sometimes they are used by noble lords. These "noble" flails are crafted with quality in mind.;很多人都觉得连枷是下等人用的东西，不过有些贵族大人也会用连枷。这些“贵族”连枷的做工跟平常的连枷可就是天壤之别了。;Dreschflegel werden oft als Waffe für Menschen niedriger Herkunft angesehen, aber manchmal werden sie auch von edlen Herren benutzt. Diese "edlen" Dreschflegel werden mit Blick auf die Qualität hergestellt.;;;;Cepy najczęściej kojarzy się z bronią niskourodzonych, jednak czasami używają jej lordowie. Te "lordowe" cepy są zrobione umyślnie z wysoką dbałością.
Morning Star;Два-три удара - и моргенштерн станет последней звездой, которую враг увидит перед смертью.;A hit or two and the morgenstern will be the last star your enemy will ever see.;要么一锤，最多两锤，你的敌人就看不到第二天早上的星星了。;Ein oder zwei Treffer und der Morgenstern wird der letzte Stern sein, den der Feind je sehen wird.;;;;Jeden lub dwa ciosy z morgenszterna i twój przeciwnik zobaczy swoje ostatnie gwiazdy, w życiu, albo w życi.
War Pick;Таким молотом можно вскрыть даже самый тяжёлый доспех - а вот биться им против слабозащищённого соперника уже нет смысла.;A hammer like this can punch a hole in even the heaviest of plates but it doesn't fare more than adequately against poorly defended targets.;这样一把锤子，再厚的板子也能砸出一个窟窿。不过，目标不牢固的话，战锤的优势就没有那么明显了。;Ein solcher Hammer kann selbst in die schwersten Platten ein Loch schlagen, aber gegen schlecht verteidigte Ziele ist er gerade so geeignet.;;;;Tego typu młot potrafi zrobić dziurę nawet w najtwardszych płytach pancerza, jednak nie radzi sobie wcale gorzej ze słabiej opancerzonymi celami.
Decorated Flanged Mace;Видно, что мастер работал долго и кропотливо, вложив в эту булаву душу. Заказавший её феодал явно не был стеснён в средствах.;It's apparent that the master smith, who meticulously crafted this mace, put his heart and soul into it. The lord ordering it clearly had money to spare.;锻造这把钉头锤的肯定是一位能工巧匠，而且花了不少心血，订制这把兵器的领主显然也是有不少闲钱。;Es ist offensichtlich, dass der Meisterschmied, der diesen Streitkolben sorgfältig hergestellt hat, mit Leib und Seele dabei war. Der Herr, der sie bestellte, hatte offensichtlich Geld übrig.;;;;To wyraźnie widać, że mistrz kowalstwa, który stworzył tę buławę wsadził w nią swoje serce i duszę. Lord zamawiający ten przedmiot musiał mieć sporo pieniędzy na wydatki.
;;;;;;;;
Peasant Hatchet;Таким топором только дрова и колоть.;The only thing this axe is decent at is chopping wood.;这把斧子什么都不行，就是能劈柴。;Das einzige, was diese Axt anständig kann, ist das Hacken von Holz.;;;;Jedyne do czego się ten topór nadaje to rąbanie drewna.
Hunter Hatchet;Полезная вещь - им можно и путь расчистить, и хворост нарубить, и освежевать добычу.;A useful tool - it may help you clear a path through dense thickets, chop some wood or skin a dead animal.;这件工具用处很多，可以开路，可以砍柴，也可以给动物剥皮。;Ein nützliches Werkzeug - es kann dabei helfen, einen Weg durch dichtes Dickicht zu bahnen, etwas Holz zu hacken oder ein totes Tier zu häuten.;;;;Użyteczne narzędzie - może pomóc w zrobieniu przejścia w gęstych zaroślach, rąbaniu drewna lub oskórowaniu zwierzyny.
Felling Axe;Этот топор отлично справляется с рубкой деревьев, несколько хуже - с рубкой голов.;This hatchet is great for chopping wood. Not so great for chopping heads.;这把斧子砍树没有问题，砍脑袋的话，可能不是特别趁手。;Dieses Beil eignet sich hervorragend zum Holzhacken. Nicht so gut für das Abschlagen von Köpfen.;;;;Ten topór dobrze nadaje się do łupania drewna, a nie do łupania głów.
Bearded Axe;Небольшая дальность удара сполна покрывается удобством и неплохой пробивной силой.;Compensates for its short reach with convenience of use and solid armor penetration.;虽然斧柄不是很长，但是用起来方便，而且可以砍透盔甲。;Kompensiert seine kurze Reichweite durch bequeme Handhabung und solide Rüstungsdurchdringung.;;;;Mimo swojego krótkiego zasięgu, ten topór nadrabia solidną siłą przebicia pancerza każdego kmiecia.
Norse Axe;Традиционное оружие северных кланов - топорами такой формы дварфы пользуются уже по меньшей мере несколько сотен лет.;A traditional weapon of the northern clans - dwarves have been using this axeshape for at least few hundred years.;北方部族使用的传统兵器，这种刃形的斧子，矮人至少已经用了几百年。;Eine traditionelle Waffe der nördlichen Clans - Zwerge benutzen diese Axtform seit mindestens einigen hundert Jahren.;;;;Tradycyjna broń północnych klanów - krasnoludy używają tak zakrzywionych toporów przynajmniej od stuleci.
Barbaric Axe;Такие незатейливые топоры в ходу среди народов Леса. В лапах орков они, впрочем, становятся грозным оружием.;These simple axes are often used by the Forest folk. However when wielded by orcs, they become a formidable weapon.;这种斧子多见森林部落使用，可是到了奥克手中，就变成了骇人的杀器。;Diese einfachen Äxte werden von den Waldbewohnern oft benutzt. Wenn sie jedoch von Orks gehandhabt werden, werden sie zu einer gewaltigen Waffe.;;;;Ten typ siekiery znany jest głównie wśród ludzi Lasu, jednak w rękach Orków staje się groźną bronią.
Dwarven Axe;Единственное, в чём дварфы разбираются лучше грабежа и выпивки - так это в топорах.;The only thing which dwarves appreciate more than booze and looting is a good axe.;矮人第一爱喝酒，第二爱趁火打劫，第三爱的就是上好的斧子。;Das Einzige, was die Zwerge mehr schätzen als Schnaps und Plünderungen, ist eine gute Axt.;;;;Jedyną rzeczą, którą krasnoludy cenią bardziej od napitku i plądrowania jest dobry topór.
Battle Axe;Этот топор отлично сбалансирован: он достаточно лёгкий, чтобы им было удобно сражаться, и достаточно тяжёлый, чтобы пробивать броню и щиты. ;This axe is perfectly balanced. It's light enough to be handled easily but also packs the weight to hack through armor and shields.;这把斧子不重不轻，分量刚好，拿在手上不会觉得太沉，劈在盔甲或者盾牌上，又不会像挠痒痒一样。;Diese Axt ist perfekt ausbalanciert. Sie ist leicht genug, um problemlos gehandhabt werden zu können, aber sie hat auch das Gewicht, um sich durch Panzerung und Schilde zu hacken.;;;;Ten topór jest świetnie wyważony. Z jednej strony łatwo się go trzyma, z drugiej waży odpowiednio dużo, by rozłupać pancerze i tarcze.
Orcish Axe;Эту здоровенную секиру даже поднять не так-то просто - а орки умудряются брать по одной такой в каждую руку.;This huge poleaxe is not easy to even pick up from the ground - orcs somehow manage to wield one of them in each hand.;这把长斧要是掉在地上，一般人捡起来都很费劲，可是奥克只要一只手，就能舞得风生水起。;Diese riesige Stangenaxt lässt sich nicht einmal leicht vom Boden aufheben - Orks schaffen es irgendwie, eine von ihnen in jeder Hand zu halten.;;;;Ten wielki berdysz ciężko nawet złapać i podnieść, a jednak mimo to Orki jakimś cudem noszą takie dwa - jeden w jednym ręku, drugi w drugim.
Footman Axe;Этот небольшой, но удобный топорик принято выхватывать из-за пояса в тех случаях, когда одним мечом не обойтись.;This small but convenient to carry axe comes into play when a sword just doesn't cut it anymore.;这把斧子不是很大，携带方便，剑砍不动的时候，它就可以出场了。;Diese kleine, aber bequem zu tragende Axt kommt ins Spiel, wenn ein Schwert nicht mehr ausreicht.;;;;Mały ale poręczny toporek często ma większy sens niż miecz stępił się już wraz ze swoim doświadczeniem.
Eastern Sagaris;Обычное оружие кочевников Охирских пустошей - каждому мужчине племени его вручают на совершеннолетие.;A widespread weapon among the nomads of the ohirian wastelands - each tribesman is granted one of them as an adulthood gift.;欧希勒荒原很多游牧民都用这种兵器，他们成年的时候，都会获得这么一份礼物。;Eine weit verbreitete Waffe unter den Nomaden des ohirianischen Ödlands - jeder Stammesangehörige erhält einen von ihnen als Geschenk im Erwachsenenalter.;;;;Broń mająca wiele zastosowań typowa wśród nomadów spalonych pustkowi - każdy członek plemienia otrzymuje taką jako prezent, gdy wchodzi w dorosłość.
Boarding Axe;Любимое оружие корсаров Бронзового архипелага, просто незаменимое в абордажных схватках.;A weapon of choice among the corsairs of the Bronze archipelago, indispensable during boardings.;青铜群岛雇佣海盗喜欢用这种武器，开船的时候必不可少。;Die Waffe der Wahl unter den Korsaren des Bronze-Archipels, unverzichtbar bei der Enterung.;;;;Broń niezwykle często używana przez korsarzy z Brązowego archipelagu, niezastąpiona w trakcie abordażu na inne okręty.
Skadian Chekan;В Альдоре такие топоры не в ходу, а вот в Скадии они обычное дело. Молоточек на обухе может выручить, если лезвие защербилось.;These axes aren't used much in Aldore but you can see them everywhere in Skadia. Its hammerhead can help you out if the axeblade gets too chipped to use.;这种斧子在奥尔多不是很常见，但是斯卡迪亚到处都是。这个工具顶端一头是斧，一头是锤，所以斧子卷刃严重的时候，还可以用锤头。;Diese Äxte werden in Aldore nicht oft benutzt, aber man kann sie überall in Skadia sehen. Der Hammerkopf hilft dir aus der Patsche, wenn die Axtklinge zu stark angeschlagen ist, um sie zu benutzen.;;;;Ten rodzaj toporów rzadko spotyka się w Aldor, ale w Skadii są bardzo powszechne. Górna część w formie młota przydaje się, gdy ostrze stępi się za bardzo.
Naval Hatchet;Бриннский торговый флот невелик, но неплохо оснащён. Эти топоры - обязательное снаряжение каждого моряка на случай нападения пиратов.;The trade fleet of Brynn is small but well guarded. Theses hatchets are mandatory for each sailor in case of a pirate attack.;布林的商船队规模不大，但是船上的防卫措施全面-----所有海员人手一把这种斧子，以防遭遇海盗袭击。;Die Handelsflotte von Brynn ist klein, aber gut geschützt. Im Falle eines Piratenangriffs sind diese Beile für jeden Matrosen obligatorisch.;;;;Handlowa flota Brynn jest niewielka, ale świetnie pilnowana. Ten rodzaj siekiery jest wymagany na pokładzie dla każdego, kto podróżuje niebezpiecznymi trasami narażonymi na ataki piratów.
Rider Axe;Впервые выкованный каким-то альдвиннским кузнецом, этот топор быстро нашёл множество поклонников среди знати.;Invented by an Aldwynnian smith, this axe soon became quite popular among the nobility.;这种斧子由阿尔德文的某个铁匠发明，而后很快便得到了大量贵族的青睐。;Von einem aldwynnianischen Schmied erfunden, wurde diese Axt bald beim Adel recht beliebt.;;;;Opracowana przez kowali z Aldwynn, ten topór szybko stał się popularny wśród mieszczan.
Elven Tabar;Богато украшенный топор из неизвестного металла. Судя по изящной вязи на рукоятке, он родом из далёкой Бхаджаратской деспотии.;A richly decorated axe forged out of unknown metal. Judging by the elegant pattern on the hilt, it comes from the distant Kingdom of Bhajarath. ;这把斧子纹饰精美，所用金属不明。斧柄图纹雅致，应该来自遥远的巴加拉斯王国。;Eine reich verzierte Axt, geschmiedet aus unbekanntem Metall. Nach dem eleganten Muster auf dem Griff zu urteilen, stammt sie aus dem fernen Königreich von Bhajarath. ;;;;Bardzo zdobiony topór dekorowany i wykuty z nieznanego metalu. Sądząc po zdobnym ostrzu pochodzi z bardzo odległego Królestwa Bhajarath.
Knightly Axe;Такими топорами довольно удобно сражаться верхом - альдорские рыцари частенько выезжают на бой именно с ними.;These axes are well suited for mounted combat. Aldorian knights often bring them when they ride into battle.;这种斧子非常适合马上使用，奥尔多的骑士上战场的时候，常常随身带上一把。;Diese Äxte eignen sich gut für den Reiterkampf. Aldorianische Ritter bringen sie oft mit, wenn sie in die Schlacht reiten.;;;;Ten rodzaj topora jest świetny do walki konno. Aldoriańscy rycerze bardzo często biorą je do bitew, gdzie liczy się starcie w siodle.
Broadaxe;От умелого воина с подобным топором стоит держаться подальше, с такой легкостью он отсекает конечности и головы.;It's better to keep distance when dealing with a warrior wielding this axe - it chops off limbs and heads with equal ease.;如果对方手里拿着这么一把斧子，最后和他保持距离。否则的话，掉脑袋和断手断脚都是一眨眼的事情。;Es ist besser, Abstand zu halten, wenn man es mit einem Krieger zu tun hat, der diese Axt schwingt - sie hackt Gliedmaßen und Köpfe mit gleicher Leichtigkeit ab.;;;;Lepiej trzymać się z daleka widząc wojownika trzymającego ten topór - siła uderzenia bez problemu odcina kończyny i głowy.
Heavy Broadaxe;Сражаться настолько тяжёлым топором очень непросто - но те удары, которые попадут в цель, наверняка окажутся смертельными.;It's not easy to handle such a heavy weapon, but the strikes which actually connect are bound to be deadly.;重兵器使用起来并不方便，正因为如此，一旦击中，对手便很难生还。;Es ist nicht leicht, mit einer so schweren Waffe umzugehen, aber die Schläge, die tatsächlich treffen, sind zwangsläufig tödlich.;;;;Nie jest łatwo trzymać tak ciężką broń, ale uderzenia łączące się z ciałem najczęściej bywają śmiertelne.
Brynn Hatchet;Ранговое оружие капитанов бриннского гарнизона. Видели бы вы, с каким важным видом они расхаживают с ними на поясе.;A weapon of rank, carried by captains of the Brynn garrison. The way they strut about with these axes on their belts is unmistakable.;这种兵器只有布林戍军的长官才能佩戴，只要看到有人走路大摇大摆，腰上别着这么一把斧子，肯定就是戍军长官。;Eine Waffe von Rang, die von den Kapitänen der Brynn-Garnison getragen wird. Die Art und Weise, wie sie mit diesen Äxten am Gürtel herumstolzieren, ist unverkennbar.;;;;Broń wysokiej rangi, noszona przez kapitanów garnizonu w Brynn. To jak bardzo chwalą sobie posiadanie tych toporów przy pasach bywa już mocno nużące.
Reinforced Axe;Ни один доспех не устоит под ударами его чудовищно тяжёлого лезвия. ;No armor can resist the monstrous weight behind this axeblade.;这把斧子头部奇重无比，一斧子劈下去，什么样的盔甲都抵挡不了。;Keine Rüstung kann dem monströsen Gewicht hinter dieser Axtklinge widerstehen.;;;;Żaden pancerz nie jest w stanie wytrzymać monstrualnej siły z jaką ten topór potrafi rozpłatać najtwardszą stal.
Mercenary Axe;Про бывшего владельца этого топора ходят целые легенды. Говорят, будто он приходил в города и деревни только за одним - чтобы забрать награду. ;The previous owner of this axe is legendary. Rumors say, he'd wander between towns and hamlets with one thing on his mind - to collect his bounty.;这把斧子从前的主人是一个传奇人物，据说他在各地的村庄和城镇之间游荡，只为了一件事情-----领取赏金。;Der Vorbesitzer dieser Axt ist legendär. Gerüchte besagen, dass er zwischen Städten und Weilern umherwanderte, mit nur einem Ziel vor Augen: Kopfgeld einzusammeln.;;;;Poprzedni właściciel tego topora musiał być legendą. Plotki mówią, że dzierżąc ten artefakt chodził od miasta do miasta mając w głowie tylko jedno - zdobywać skalpy wrogów.
;;;;;;;;
;;;;;;;;
Peasant Bow;Такие луки можно найти у крестьян порисковей: изредка они втайне охотятся в угодьях своего лорда.;Brash peasants sometimes carry these bows when they decide to secretly hunt on their lord's land.;有些冒失的农民偷偷跑到领主的园林打猎，就会带上这样的弓。;Freche Bauern tragen manchmal diese Bögen, wenn sie beschließen, heimlich auf dem Land ihres Herrn zu jagen.;;;;Zuchwali wieśniacy często noszą tego typu łuki, kiedy decydują się pokłusować na ziemiach swoich panów.
Shortbow;Простой деревянный лук, из которого не так-то просто наловчиться стрелять.;A simple wooden bow, learning to shoot with it can prove to be quite a challenge.;简简单单的木弓，用它学习射箭，难度可能很大。;Ein einfacher Holzbogen. Mit ihm schießen zu lernen, kann sich als eine ziemliche Herausforderung erweisen.;;;;Prosty drewniany łuk, umiejętne trafianie z niego w stronę celu może wymagać odrobiny doświadczenia.
Hunting Bow;Этот лук сочетает неплохую дальность с достаточной для охоты убойной силой.;This bow combines decent range with enough power to hunt big game.;这种弓射程够远，弹力够大，可以猎杀大型动物。;Dieser Bogen kombiniert eine gute Reichweite mit genügend Kraft für die Jagd auf Großwild.;;;;Ten łuk łączy w sobie dobry zasięg oraz odpowiednią siłę, by móc za jego pomocą polować na większego zwierza.
